gene_id,gene_symbol,chromosome,log2FoldChange,logCPM,pvalue,padj,baseMean,lfcSE,stat,AveExpr
ENSG00000141510,TP53,chr17,inf,12.45,0.0,0.0,1540.2,0.12,45.2,12.1
ENSG00000139618,BRCA2,chr13,-2.45,8.12,4.2e-12,1.5e-10,432.1,0.21,-11.6,7.9
ENSG00000012048,BRCA1,chr17,3.12,7.45,8.9e-15,6.2e-13,312.5,0.18,17.3,7.2
ENSG00000147065,MSH2,chr2,0.15,9.23,0.654,,543.8,0.45,0.33,9.1
ENSG00000136244,IL6,chr7,-5.67,4.12,1.2e-28,4.5e-26,89.4,0.11,-51.5,4.0
ENSG00000115414,FN1,chr2,0.89,14.56,0.002,0.015,5430.1,0.22,4.04,14.2
ENSG00000106462,GAPDH,chr12,0.02,15.89,0.95,0.99,12040.5,0.05,0.4,15.7
ENSG00000111640,GAPDH,chr12,NaN,15.77,NaN,NaN,11900.2,0.04,0.0,15.6
ENSG00000133703,KRAS,chr12,4.56,6.34,3.4e-09,5.1e-08,210.5,0.32,14.25,6.1
ENSG00000146648,EGFR,chr7,-1.23,10.45,0.00045,0.0021,876.4,0.28,-4.39,10.3
ENSG00000164448,VEGFA,chr6,2.34,9.12,1.2e-06,2.3e-05,456.7,0.31,7.54,8.9
ENSG00000170345,APOE,chr19,-4.12,11.23,0.0,0.0,1890.3,0.15,-27.4,11.0
ENSG00000101911,AKT1,chr14,1.45,8.76,0.012,0.045,345.6,0.35,4.14,8.5
ENSG00000112715,VEGFA,chr6,2.11,9.01,5.6e-06,8.2e-05,445.2,0.33,6.39,8.8
ENSG00000130203,APOE,chr19,-3.98,11.05,2.1e-18,5.4e-17,1850.1,0.14,-28.4,10.9
